table_name,business_domain,field_name,field_type,business_meaning,comment,comment_source,value_hints,zero_meaning,one_meaning,one_polarity_guess,total_count,zero_count,one_count,null_count,other_count
geo_dzbjjbxx,地质背景,delete_flag,INTEGER,删除标志1未删除 0已删除,删除标志1未删除 0已删除,database_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,7,0,7,0,0
geo_gqp_jbxx,基本信息,delete_flag,INTEGER,删除标志1未删除 0已删除,删除标志1未删除 0已删除,database_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,2850,0,2850,0,0
geo_gqp_jbxx,基本信息,emergency_response_status,VARCHAR(10),应急状态 1.非应急 2.应急,应急状态 1.非应急 2.应急,database_schema,1=非应急；2=应急,,非应急,1偏否定/反向,2850,0,0,2850,0
geo_gqp_jbxx,基本信息,is_complete,INTEGER,是否完整 1完整 2部分完整 3不完整,是否完整 1完整 2部分完整 3不完整,database_schema,1=完整；2=部分完整；3=不完整,,完整,1偏肯定/正向,2850,0,0,0,2850
geo_gqp_jbxx,基本信息,is_stop,INTEGER,是否停止监测，0停止，1未停止,是否停止监测，0停止，1未停止,database_schema,1=未停止监测；0=已停止监测,已停止监测,未停止监测,1偏否定/反向,2850,14,2836,0,0
geo_gqp_jbxx,基本信息,sjly,VARCHAR(100),数据来源 1源库 2同步,数据来源 1源库 2同步,database_schema,1=源库；2=同步,,源库,需人工判断,2850,0,0,2850,0
geo_gqp_zyjc,专业监测,delete_flag,INTEGER,删除标志1未删除 0已删除,删除标志1未删除 0已删除,database_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,2493,0,2493,0,0
geo_gqpdcsj,高切坡业务,delete_flag,INTEGER,删除标志1未删除 0已删除,删除标志1未删除 0已删除,database_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,2,0,2,0,0
geo_gqpdzdh,高切坡业务,delete_flag,INTEGER,删除标志1未删除 0已删除,删除标志1未删除 0已删除,database_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,2,0,2,0,0
geo_gqpfhgccs,高切坡业务,delete_flag,INTEGER,删除标志1未删除 0已删除,删除标志1未删除 0已删除,database_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,2,0,2,0,0
geo_gqpyxsj,高切坡业务,delete_flag,INTEGER,删除标志1未删除 0已删除,删除标志1未删除 0已删除,database_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,2,0,2,0,0
geo_qydzzhbj,空间/地质数据,delete_flag,INTEGER,删除标志1未删除 0已删除,删除标志1未删除 0已删除,database_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,2,0,2,0,0
t_dept,系统管理,delete_flag,INTEGER,删除标志 0 删除 1 未删除,删除标志 0 删除 1 未删除,document_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,14,0,14,0,0
t_drone_dom,空间数据,delete_flag,INTEGER,删除标志,删除标志,database_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,25,20,5,0,0
t_gqp_zdhjcsb,未分类,delete_flag,INTEGER,删除标志,删除标志,database_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,8,1,7,0,0
t_insar,未分类,delete_flag,INTEGER,删除标志,删除标志,database_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,5,0,5,0,0
t_insar_data,未分类,delete_flag,INTEGER,删除标志,删除标志,database_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,1763,0,1763,0,0
t_monthly,报告附件,delete_flag,INTEGER,删除标志1未删除 0已删除,删除标志1未删除 0已删除,document_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,134,0,134,0,0
t_panoramic_data,空间数据,delete_flag,INTEGER,删除标志,删除标志,database_schema,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,19,14,5,0,0
t_system_notice,未分类,delete_flag,INTEGER,删除标志,,,1=未删除或正常；0=已删除,已删除,未删除或正常,1偏否定/反向,7,0,7,0,0
